id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street_is_pave,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,has_central_air,electrical,first_flr_sf,second_fl_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,three_ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice,age_at_sale,age_of_remod,sale_time_to_recession,garage_age,garage_age_1_or_less,garage_age_2_5,garage_age_6_10,garage_age_11_19,garage_age_20_31,garage_age_32_40,garage_age_41_49,garage_age_50_59,garage_age_60_91,garage_age_over_92,no_garage,ms_zoning_C (all),ms_zoning_FV,ms_zoning_I (all),ms_zoning_RH,ms_zoning_RL,ms_zoning_RM,bldg_type_d_1Fam,bldg_type_d_2fmCon,bldg_type_d_Duplex,bldg_type_d_Twnhs,bldg_type_d_TwnhsE,house_style_d_1.5Fin,house_style_d_1.5Unf,house_style_d_1Story,house_style_d_2.5Fin,house_style_d_2.5Unf,house_style_d_2Story,house_style_d_SFoyer,house_style_d_SLvl,nhood_med_abv_230759,nhood_med_194280_230759,nhood_med_168610_194280,nhood_med_136516_168610,nhood_med_115650_136516,nhood_med_below_115650,foundation_d_BrkTil,foundation_d_CBlock,foundation_d_PConc,foundation_d_Slab,foundation_d_Stone,foundation_d_Wood,fireplace_qu_d_Ex,fireplace_qu_d_Fa,fireplace_qu_d_Gd,fireplace_qu_d_NA,fireplace_qu_d_Po,fireplace_qu_d_TA,heating_qc_d_Ex,heating_qc_d_Fa,heating_qc_d_Gd,heating_qc_d_TA,electrical_d_FuseA,electrical_d_FuseF,electrical_d_FuseP,electrical_d_Mix,electrical_d_SBrkr,garage_type_d_2Types,garage_type_d_Attchd,garage_type_d_Basment,garage_type_d_BuiltIn,garage_type_d_CarPort,garage_type_d_Detchd,garage_type_d_NA,misc_feature_d_Gar2,misc_feature_d_NA,misc_feature_d_Othr,misc_feature_d_Shed,misc_feature_d_TenC,is_1_story,is_1_hf_story,is_2_story,is_2_hf_story,is_split_multi,is_duplex,is_pud,is_2_fm_conv,is_pre_war,is_post_war,has_finished_attic,sale_type_d_COD,sale_type_d_CWD,sale_type_d_Con,sale_type_d_ConLD,sale_type_d_ConLI,sale_type_d_ConLw,sale_type_d_New,sale_type_d_Oth,sale_type_d_WD ,exterior_1st_d_AsbShng,exterior_1st_d_AsphShn,exterior_1st_d_BrkComm,exterior_1st_d_BrkFace,exterior_1st_d_CBlock,exterior_1st_d_CemntBd,exterior_1st_d_HdBoard,exterior_1st_d_ImStucc,exterior_1st_d_MetalSd,exterior_1st_d_Plywood,exterior_1st_d_Stone,exterior_1st_d_Stucco,exterior_1st_d_VinylSd,exterior_1st_d_Wd Sdng,exterior_1st_d_WdShing,exterior_2nd_d_AsbShng,exterior_2nd_d_AsphShn,exterior_2nd_d_BrkComm,exterior_2nd_d_BrkFace,exterior_2nd_d_CBlock,exterior_2nd_d_CemntBd,exterior_2nd_d_HdBoard,exterior_2nd_d_ImStucc,exterior_2nd_d_MetalSd,exterior_2nd_d_Plywood,exterior_2nd_d_Stone,exterior_2nd_d_Stucco,exterior_2nd_d_VinylSd,exterior_2nd_d_Wd Sdng,exterior_2nd_d_WdShing,condition_1_d_Artery,condition_1_d_Feedr,condition_1_d_Norm,condition_1_d_PosA,condition_1_d_PosN,condition_1_d_RRAe,condition_1_d_RRAn,condition_1_d_RRNe,condition_1_d_RRNn,condition_2_d_Artery,condition_2_d_Feedr,condition_2_d_Norm,condition_2_d_PosA,condition_2_d_PosN,condition_2_d_RRAe,condition_2_d_RRAn,condition_2_d_RRNn,exterior_1st_d_PreCast,exterior_2nd_d_Other,exterior_2nd_d_PreCast,mas_vnr_type_d_BrkComm,mas_vnr_type_d_BrkFace,mas_vnr_type_d_None,mas_vnr_type_d_Stone,roof_style_d_Flat,roof_style_d_Gable,roof_style_d_Gambrel,roof_style_d_Hip,roof_style_d_Mansard,roof_style_d_Shed,roof_matl_d_CompShg,roof_matl_d_Membran,roof_matl_d_Tar&Grv,roof_matl_d_WdShake,roof_matl_d_WdShngl,neighborhood_d_Blmngtn,neighborhood_d_Blueste,neighborhood_d_BrDale,neighborhood_d_BrkSide,neighborhood_d_ClearCr,neighborhood_d_CollgCr,neighborhood_d_Crawfor,neighborhood_d_Edwards,neighborhood_d_Gilbert,neighborhood_d_Greens,neighborhood_d_GrnHill,neighborhood_d_IDOTRR,neighborhood_d_Landmrk,neighborhood_d_MeadowV,neighborhood_d_Mitchel,neighborhood_d_NAmes,neighborhood_d_NPkVill,neighborhood_d_NWAmes,neighborhood_d_NoRidge,neighborhood_d_NridgHt,neighborhood_d_OldTown,neighborhood_d_SWISU,neighborhood_d_Sawyer,neighborhood_d_SawyerW,neighborhood_d_Somerst,neighborhood_d_StoneBr,neighborhood_d_Timber,neighborhood_d_Veenker
0,109,533352170,60,RL,0.0,13517,1,NA,-1,0,0,CulDSac,0,Sawyer,-1,1,3,5,6,8,1976,2005,2,1,-1,-1,1,289.0,4,3,-2,3,TA,1,GLQ,533.0,Unf,0.0,192.0,725.0,GasA,5,1,SBrkr,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,Typ,0,0,6,1976.0,2,2.0,475.0,3,3,2,0,44,0,0,0,0,0,0,NA,0,3,2010,-4,130500,34,5,0,34.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,544,531379050,60,RL,43.0,11492,1,NA,-1,0,0,CulDSac,0,SawyerW,1,1,3,5,7,5,1996,1997,2,1,4,4,1,132.0,4,3,3,4,TA,1,GLQ,637.0,Unf,0.0,276.0,913.0,GasA,5,1,SBrkr,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,Typ,1,3,6,1997.0,2,2.0,559.0,3,3,2,0,74,0,0,0,0,0,0,NA,0,4,2009,-4,220000,13,12,1,12.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,153,535304180,20,RL,68.0,7922,1,NA,0,0,0,Inside,0,NAmes,1,1,3,2,5,7,1953,2007,2,1,4,4,0,0.0,3,4,-2,3,TA,1,GLQ,731.0,Unf,0.0,326.0,1057.0,GasA,3,1,SBrkr,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,Typ,0,0,0,1953.0,1,1.0,246.0,3,3,2,0,52,0,0,0,0,0,0,NA,0,1,2010,-4,109000,57,3,2,57.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,318,916386060,60,RL,73.0,9802,1,NA,0,0,0,Inside,0,Timber,1,1,3,5,5,5,2006,2007,2,1,4,4,0,0.0,3,3,3,4,TA,1,Unf,0.0,Unf,0.0,384.0,384.0,GasA,4,1,SBrkr,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,Typ,0,0,5,2007.0,3,2.0,400.0,3,3,2,100,0,0,0,0,0,0,0,NA,0,4,2010,-4,174000,4,3,3,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,255,906425045,50,RL,82.0,14235,1,NA,-1,0,0,Inside,0,SawyerW,1,1,3,4,6,8,1900,1993,2,1,2,-1,0,0.0,3,3,3,2,Gd,1,Unf,0.0,Unf,0.0,676.0,676.0,GasA,3,1,SBrkr,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,Typ,0,0,0,1957.0,1,2.0,484.0,3,3,0,0,59,0,0,0,0,0,0,NA,0,3,2010,-4,138500,110,17,4,53.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,138,535126040,20,RL,137.0,16492,1,NA,-1,0,0,Corner,0,NAmes,3,1,3,2,6,6,1966,2002,2,1,1,-1,0,0.0,4,3,-2,3,TA,1,ALQ,247.0,Rec,713.0,557.0,1517.0,GasA,5,1,SBrkr,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,Mod,1,4,6,1966.0,3,2.0,578.0,3,3,2,0,0,0,0,0,0,0,0,NA,0,6,2010,-4,190000,44,8,5,44.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,2827,908186070,180,RM,35.0,3675,1,NA,0,0,0,Inside,0,Edwards,1,1,2,0,6,5,2005,2006,2,1,4,4,1,82.0,3,3,3,4,TA,4,GLQ,547.0,Unf,0.0,0.0,547.0,GasA,4,1,SBrkr,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,Typ,0,0,3,2005.0,3,2.0,525.0,3,3,2,0,44,0,0,0,0,0,0,NA,0,6,2006,4,140000,1,0,6,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,145,535154050,20,RL,0.0,12160,1,NA,-1,0,0,Inside,0,NAmes,1,1,3,2,5,5,1959,1959,2,1,-1,-1,1,180.0,3,3,-2,3,TA,1,Rec,1000.0,Unf,0.0,188.0,1188.0,GasA,2,1,SBrkr,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,Typ,0,0,6,1959.0,2,2.0,531.0,3,3,2,0,0,0,0,0,0,0,3,NA,0,5,2010,-3,142000,51,51,7,51.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,1942,535353130,20,RL,0.0,15783,1,NA,0,0,0,Inside,0,OldTown,-2,1,3,2,5,5,1952,1952,2,1,2,2,0,0.0,3,3,-2,3,TA,1,Rec,292.0,Unf,0.0,632.0,924.0,GasA,3,1,SBrkr,924,0,0,924,0.0,0.0,1,0,2,1,3,6,Typ,0,0,0,1952.0,1,1.0,420.0,3,3,2,0,324,0,0,0,0,0,3,Shed,400,6,2007,-4,112500,55,55,8,55.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,1956,535426130,60,RL,70.0,11606,1,NA,-1,-2,0,Inside,-2,NAmes,1,1,3,5,5,5,1969,1969,2,1,-1,-1,1,192.0,3,3,3,4,TA,3,Rec,650.0,Unf,0.0,390.0,1040.0,GasA,3,1,SBrkr,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,Typ,2,3,6,1969.0,1,2.0,504.0,3,3,2,335,0,0,0,0,0,0,0,NA,0,9,2007,-4,135000,38,38,9,38.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
