1st_flr_sf,2nd_flr_sf,3ssn_porch,age_at_sale,age_of_remod,alley,bedroom_abvgr,bldg_type,bsmt_cond,bsmt_exposure,bsmt_full_bath,bsmt_half_bath,bsmt_qual,bsmt_unf_sf,bsmtfin_sf_1,bsmtfin_sf_2,bsmtfin_type_1,bsmtfin_type_2,central_air,condition_1,condition_2,electrical,enclosed_porch,exter_cond,exter_qual,exterior_1st,exterior_2nd,fence,fireplace_qu,fireplaces,foundation,full_bath,functional,garage_area,garage_cars,garage_cond,garage_finish,garage_qual,garage_type,garage_yr_blt,gr_liv_area,half_bath,has_central_air,heating,heating_qc,house_style,id,kitchen_abvgr,kitchen_qual,land_contour,land_slope,lot_area,lot_config,lot_frontage,lot_shape,low_qual_fin_sf,mas_vnr_area,mas_vnr_type,misc_feature,misc_val,mo_sold,ms_subclass,ms_zoning,neighborhood,open_porch_sf,overall_cond,overall_qual,paved_drive,pid,pool_area,pool_qc,roof_matl,roof_style,sale_time_to_recession,sale_type,saleprice,screen_porch,street,street_is_pave,total_bsmt_sf,totrms_abvgrd,utilities,wood_deck_sf,year_built,year_remod/add,yr_sold
106,673,709,0,,,,3,Twnhs,TA,No,1.0,0.0,Gd,32.0,641.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,MetalSd,MetalSd,,,0,PConc,2,Typ,490.0,2.0,TA,Unf,TA,Detchd,2000.0,1382,1,,GasA,Ex,2Story,2513,1,Gd,Lvl,Gtl,2651,FR2,,Reg,0,0.0,None,,0,4,160,FV,Somerst,50,5,7,Y,533223080,0,,CompShg,Gable,,WD ,165000,0,Pave,,673.0,6,AllPub,153,2000,2000,2006
226,1224,0,0,,,,2,TwnhsE,TA,No,1.0,0.0,Ex,341.0,883.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,,,0,PConc,2,Typ,402.0,2.0,TA,Fin,TA,Attchd,1999.0,1224,0,,GasA,Ex,1Story,973,1,TA,Lvl,Gtl,4500,FR2,,Reg,0,425.0,BrkFace,,0,6,120,RM,Mitchel,304,5,6,Y,923203190,0,,CompShg,Hip,,WD ,165000,0,Pave,,1224.0,5,AllPub,0,1999,1999,2009
335,1022,1038,168,,,,3,1Fam,TA,No,1.0,0.0,Gd,220.0,772.0,0.0,ALQ,Unf,Y,RRNn,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,GdPrv,TA,1,PConc,2,Typ,390.0,2.0,TA,RFn,TA,BuiltIn,1999.0,2060,1,,GasA,Ex,2Story,493,1,Gd,Lvl,Gtl,8755,FR2,,IR1,0,298.0,BrkFace,,0,6,60,RL,Gilbert,0,5,7,Y,528292070,0,,CompShg,Gable,,WD ,214000,0,Pave,,992.0,8,AllPub,0,1999,1999,2009
430,551,551,0,,,,2,TwnhsE,TA,No,0.0,0.0,Gd,312.0,239.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,MetalSd,MetalSd,,,0,PConc,2,Typ,480.0,2.0,TA,Unf,TA,Detchd,2004.0,1102,1,,GasA,Ex,2Story,1848,1,Gd,Lvl,Gtl,5105,FR2,,IR2,0,0.0,None,,0,3,160,FV,Somerst,60,5,7,Y,533223050,0,,CompShg,Gable,,WD ,148800,0,Pave,,551.0,4,AllPub,0,2004,2004,2007
454,530,550,0,,,,2,TwnhsE,TA,No,0.0,0.0,Gd,286.0,244.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,,0,PConc,2,Typ,496.0,2.0,TA,RFn,TA,Attchd,2003.0,1080,1,,GasA,Ex,2Story,104,1,Gd,Lvl,Gtl,2403,FR2,,IR1,0,0.0,None,,0,6,160,FV,Somerst,50,5,7,Y,533223100,0,,CompShg,Gable,,WD ,147110,0,Pave,,530.0,4,AllPub,0,2003,2003,2010
781,914,0,0,,,,2,1Fam,TA,No,0.0,0.0,TA,600.0,314.0,0.0,ALQ,Unf,Y,Norm,Norm,SBrkr,0,Gd,TA,MetalSd,MetalSd,GdWo,,0,BrkTil,1,Typ,270.0,1.0,TA,Unf,Fa,Basment,1961.0,914,0,,GasA,Ex,1Story,1671,1,TA,Lvl,Gtl,17199,FR2,,Reg,0,0.0,None,,0,7,20,RL,NAmes,0,7,4,Y,527425025,0,,CompShg,Gable,,WD ,128000,0,Pave,,914.0,4,AllPub,140,1961,1961,2007
926,864,0,0,,,,3,1Fam,TA,No,0.0,0.0,TA,264.0,600.0,0.0,BLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,MnWw,,0,CBlock,1,Typ,576.0,2.0,TA,Unf,TA,Detchd,1980.0,864,0,,GasA,TA,1Story,1038,1,TA,Lvl,Gtl,12735,FR2,,IR1,0,0.0,None,,0,4,20,RL,NAmes,0,5,4,Y,527425035,0,,CompShg,Hip,,COD,111250,0,Pave,,864.0,5,AllPub,216,1972,1972,2008
927,997,1288,0,,,,4,1Fam,TA,No,0.0,0.0,Gd,969.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,TA,1,PConc,2,Typ,648.0,3.0,TA,Fin,TA,BuiltIn,2000.0,2285,1,,GasA,Ex,2Story,1763,1,Gd,Lvl,Gtl,11000,FR2,,Reg,0,72.0,BrkFace,,0,6,60,RL,NoRidge,56,5,8,Y,528326060,0,,CompShg,Gable,,WD ,248000,0,Pave,,969.0,8,AllPub,0,2000,2000,2007
1583,1236,1104,0,,,,4,1Fam,TA,No,1.0,0.0,Gd,213.0,1023.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,218,TA,Gd,VinylSd,VinylSd,GdPrv,Gd,1,PConc,2,Typ,787.0,3.0,TA,RFn,TA,Attchd,1996.0,2340,1,,GasA,Ex,2Story,1033,1,Gd,Lvl,Gtl,14311,FR3,,IR1,0,402.0,BrkFace,,0,6,60,RL,NWAmes,180,5,8,Y,527380240,0,,CompShg,Gable,,WD ,306000,0,Pave,,1236.0,9,AllPub,192,1996,1996,2008
1866,1533,639,0,,,,4,1Fam,TA,Mn,0.0,0.0,Ex,1519.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,TA,1,PConc,2,Typ,687.0,3.0,TA,RFn,TA,BuiltIn,2000.0,2172,1,,GasA,Ex,2Story,1102,1,Ex,Lvl,Gtl,11000,FR2,,Reg,0,295.0,BrkFace,,0,6,60,RL,NoRidge,153,5,9,Y,528326110,0,,CompShg,Hip,,WD ,291000,0,Pave,,1519.0,8,AllPub,162,2000,2000,2008
